User_ID,Age,Gender,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location
217,36,Male,7.17,29,3.16,2.25,1.76,Los Angeles
218,43,Male,8.63,23,2.13,2.89,3.61,New York
219,20,Male,7.19,21,2.74,2.85,1.6,Los Angeles
220,36,Male,7.06,24,0.87,1.66,4.53,Los Angeles
221,37,Male,3.69,13,1.48,1.58,0.63,New York
222,49,Male,4.74,18,3.32,0.53,0.89,Los Angeles
223,24,Female,9.13,23,4.83,1.83,2.47,Houston
224,58,Male,1.16,5,0.25,0.5,0.41,Phoenix
225,50,Female,9.26,24,4.45,3.83,0.98,Chicago
226,57,Female,12.43,8,2.88,4.83,4.72,Los Angeles
227,56,Male,12.55,16,2.82,4.85,4.88,Los Angeles
228,35,Female,8.71,26,2.5,4.33,1.88,Chicago
229,57,Female,7.97,20,0.35,3,4.62,Los Angeles
230,18,Female,6.67,19,0.45,3.5,2.72,Chicago
231,28,Female,5.78,6,3,1.43,1.35,New York
232,45,Female,8.36,25,1.7,3.15,3.51,Houston
233,42,Female,10.16,17,4.59,2.28,3.29,Houston
234,40,Male,9.39,13,2.03,2.41,4.95,Phoenix
235,48,Female,5.84,28,0.72,3.79,1.33,Los Angeles
236,47,Female,8.34,5,3.57,1.41,3.36,Phoenix
237,59,Female,3.32,5,1.47,1.59,0.26,New York
238,52,Male,7.82,18,2.63,4.62,0.57,Houston
239,24,Female,3.79,7,3.49,0.28,0.02,New York
240,33,Male,11.93,23,4.5,2.43,5,New York
241,43,Female,12.53,12,3.96,4.56,4.01,Los Angeles
242,19,Male,10.36,21,3.38,3.05,3.93,New York
243,18,Male,8.68,27,3.4,2.73,2.55,Houston
244,29,Female,7.48,6,4.73,1.25,1.5,Phoenix
245,22,Female,3.96,21,1.48,1.72,0.76,Houston
246,54,Male,5.69,13,0.01,4.26,1.42,Los Angeles
247,49,Female,6.04,4,1.36,2.8,1.88,Houston
248,26,Male,7.44,12,1.09,2.57,3.78,Chicago
249,58,Male,6.51,13,3.31,0.5,2.7,Phoenix
250,52,Male,3.64,27,3.17,0.08,0.39,Chicago
251,36,Male,7.88,22,2.97,4.82,0.09,Chicago
252,33,Male,2.47,18,0.08,1.88,0.51,Los Angeles
253,20,Female,8.71,21,3.64,3.02,2.05,New York
254,37,Male,6.69,25,1.62,0.4,4.67,Chicago
255,41,Male,9.94,26,3.33,3.42,3.19,Houston
256,50,Female,11.45,13,2.78,4.66,4.01,New York
257,41,Male,6.92,16,1.71,2.88,2.33,Houston
258,28,Female,3.11,4,0.67,0.63,1.81,Houston
259,25,Female,3.92,25,0.47,2.91,0.54,New York
260,53,Female,12.37,7,4.16,3.83,4.38,New York
261,55,Male,10.54,29,4.59,2.03,3.92,Houston
262,57,Male,8.49,7,3.25,4.4,0.84,Los Angeles
263,37,Male,6.32,21,0.52,3.24,2.56,Phoenix
264,52,Female,8.95,23,2.01,4.5,2.44,Phoenix
265,42,Male,9.89,14,3.64,3.12,3.13,Los Angeles
266,52,Female,9.29,20,3.9,0.66,4.73,New York
267,42,Male,5.04,6,0.59,1.55,2.9,Houston
268,46,Female,3.71,24,0,1.01,2.7,Phoenix
269,35,Male,8.35,19,3.56,4.54,0.25,Houston
270,35,Male,5.89,12,1.78,3.8,0.31,Los Angeles
271,19,Male,5.59,22,1.27,3.38,0.94,Houston
272,52,Female,1.72,8,0.06,1.5,0.16,Los Angeles
273,33,Female,7.34,27,2.7,0.92,3.72,New York
274,58,Male,11.66,16,4.26,3.78,3.62,Los Angeles
275,53,Male,7.84,13,4.79,2.37,0.68,Los Angeles
276,50,Female,8.14,13,2.83,1.13,4.18,Phoenix
277,21,Female,6.42,20,2.57,3.08,0.77,Houston
278,50,Female,2.14,29,0.43,0.2,1.51,Phoenix
279,31,Male,5.61,25,2.74,1.63,1.24,Chicago
280,38,Female,6.1,24,1.9,2.34,1.86,Los Angeles
281,37,Male,5.05,20,3.04,0.74,1.27,Chicago
282,25,Female,9.3,26,1.94,4.92,2.44,Phoenix
283,24,Male,4.29,25,1.2,1.05,2.04,Houston
284,20,Female,6.05,13,0.47,0.65,4.93,Phoenix
285,34,Female,2.87,23,1.57,1.02,0.28,Houston
286,50,Female,5.04,14,0.48,3.85,0.71,Houston
287,29,Female,3.27,7,0.88,2.13,0.26,New York
288,39,Female,10.9,25,4.94,2.83,3.13,Los Angeles
289,39,Male,2.6,11,2.22,0.11,0.27,Phoenix
290,47,Female,7.01,29,2.66,0.17,4.18,Houston
291,55,Female,9.16,27,4.37,2.23,2.56,Phoenix
292,55,Female,11.7,11,4.98,4.08,2.64,Phoenix
293,25,Male,10.15,24,2.91,4.43,2.81,Houston
294,44,Female,5.34,12,4.06,0.43,0.85,Chicago
295,44,Male,5.31,24,1.63,2.69,0.99,Los Angeles
296,51,Female,7.69,21,1.53,4.57,1.59,Los Angeles
297,38,Female,6.92,3,2.01,1.94,2.97,New York
298,47,Male,8.56,9,3.36,4.15,1.05,New York
299,50,Female,4.66,6,3.41,0.67,0.58,New York
300,45,Male,11.11,3,1.58,4.68,4.85,Los Angeles
301,50,Male,4.54,17,0.67,3.76,0.11,Chicago
302,22,Female,11.88,10,3.16,4.71,4.01,Los Angeles
303,36,Male,7.96,14,0.64,3.38,3.94,Los Angeles
304,21,Female,6.2,24,2.89,1.82,1.49,Los Angeles
305,52,Female,8.84,24,3.47,4.69,0.68,Los Angeles
306,34,Male,5.61,20,3.5,1.38,0.73,Chicago
307,45,Male,8.92,17,3.77,1.66,3.49,New York
308,47,Male,11.07,19,4.36,3.5,3.21,Phoenix
309,46,Male,10.24,16,2.5,3.83,3.91,New York
310,23,Female,12.99,16,3.65,4.65,4.69,New York
311,52,Female,7.58,20,3.1,1.02,3.46,Phoenix
312,58,Male,5.7,22,0.93,3.99,0.78,Los Angeles
313,54,Female,5.04,20,0.13,3.69,1.22,Chicago
314,41,Female,5.95,18,1.42,0.32,4.21,Chicago
315,46,Female,5.21,3,2.22,1.94,1.05,New York
316,48,Female,4.86,25,3.09,1.41,0.36,Phoenix
317,52,Male,9.29,29,4.25,1.52,3.52,Houston
318,50,Male,7.9,13,0.98,4.91,2.01,Los Angeles
319,38,Female,8.44,17,0.63,3.21,4.6,New York
320,49,Male,11.66,14,4.82,3.59,3.25,Chicago
321,40,Male,5.87,10,0.54,4.88,0.45,Phoenix
322,50,Male,9.02,24,2.39,1.89,4.74,Phoenix
323,20,Female,8.23,22,2.93,4.01,1.29,New York
324,35,Female,6.57,8,2.71,2.17,1.69,Houston
325,42,Female,6.79,5,0.43,4.35,2.01,Chicago
326,59,Male,1.45,26,0.29,0.9,0.26,New York
327,48,Female,7.75,28,0.53,4.74,2.48,Houston
328,20,Female,4.64,15,2.93,1.09,0.62,Phoenix
329,57,Male,6.35,15,2.72,1.63,2,Los Angeles
330,41,Female,6.7,4,1.17,3.78,1.75,Chicago
331,49,Female,9.02,7,3.19,1.97,3.86,Chicago
332,39,Male,11.16,19,4.1,3.04,4.02,Houston
333,40,Male,3.2,8,0.21,2.22,0.77,New York
334,19,Male,8.03,4,2.49,3.71,1.83,Phoenix
335,44,Female,6.46,6,3.45,1.14,1.87,Houston
336,59,Female,2.31,24,1.26,0.29,0.76,Los Angeles
337,19,Female,7.03,28,1.54,1.5,3.99,Los Angeles
338,43,Male,8.98,13,3.07,2.37,3.54,Los Angeles
339,34,Male,6.28,10,4.49,0.84,0.95,Houston
340,57,Female,7.65,14,4.05,1.77,1.83,Phoenix
341,50,Female,5.45,10,2.92,2,0.53,Chicago
342,26,Male,7.08,13,3.65,0.29,3.14,New York
343,56,Male,5.35,24,1.82,2.92,0.61,Chicago
344,46,Male,12.55,22,3.2,4.42,4.93,Phoenix
345,59,Male,6.99,10,2.33,0.76,3.9,Chicago
346,43,Female,5.89,10,0.95,2.99,1.95,Houston
347,52,Male,9.72,28,3.51,3.32,2.89,Los Angeles
348,42,Female,9.44,19,2.78,2.1,4.56,Phoenix
349,41,Female,8.07,22,1.79,3.51,2.77,Phoenix
350,30,Female,7.48,22,4.56,2.05,0.87,Chicago
351,24,Male,4.51,25,0.1,2.52,1.89,Houston
352,53,Male,5.84,18,1.58,0.04,4.22,Chicago
353,37,Male,6.96,16,0.28,3.46,3.22,Chicago
354,18,Male,10.39,13,3.83,3.31,3.25,Phoenix
355,25,Female,8.03,9,3.51,0.19,4.33,Chicago
356,33,Male,7.97,18,1.66,1.84,4.47,Los Angeles
357,31,Male,12.88,15,3.38,4.9,4.6,Chicago
358,29,Female,4.55,29,1.98,2.1,0.47,Los Angeles
359,40,Male,9.01,17,3.78,2.51,2.72,Phoenix
360,32,Female,10.52,26,2.27,4.55,3.7,Houston
361,45,Female,9.43,18,2.06,3.59,3.78,Los Angeles
362,51,Female,10.61,29,4.67,2.91,3.03,Houston
363,19,Female,6.07,23,1.25,3.99,0.83,Houston
364,49,Female,8.91,25,0.6,4.32,3.99,Los Angeles
365,40,Female,8.8,26,2.92,2.28,3.6,Phoenix
366,39,Female,7.66,11,4.85,2.38,0.43,New York
367,42,Female,6.14,5,1.89,1.93,2.32,Houston
368,39,Male,6.01,21,0.31,4.83,0.87,Houston
369,39,Male,6.88,22,1.7,3.49,1.69,Phoenix
370,59,Male,3.04,7,2.53,0.42,0.09,Phoenix
371,23,Male,7.12,12,0.81,4.31,2,Chicago
372,32,Female,8.44,19,3.29,2.4,2.75,Phoenix
373,54,Male,8.43,17,4.99,0.34,3.1,Houston
374,50,Female,8.33,25,2.26,2.75,3.32,Los Angeles
375,25,Male,8.04,27,1.77,2.09,4.18,New York
376,22,Male,7.47,10,2,4.39,1.08,Chicago
377,56,Male,2.2,17,0.58,1.02,0.6,Los Angeles
378,21,Female,12.81,23,4.42,4.13,4.26,New York
379,23,Male,5.64,16,2.07,2.79,0.78,New York
380,49,Female,7.08,22,1.94,0.27,4.87,New York
381,47,Female,12.37,9,3.3,4.86,4.21,Los Angeles
382,52,Male,7.27,23,2.21,2.56,2.5,Chicago
383,57,Male,9.6,25,3.24,1.45,4.91,Chicago
384,33,Male,3.15,14,0.31,2.35,0.49,New York
385,30,Female,9.88,19,4.07,4.29,1.52,Los Angeles
386,59,Male,9.41,19,4.7,1.52,3.19,New York
387,47,Female,5.95,12,3.24,0.96,1.75,Phoenix
388,36,Female,10.06,21,4.77,0.65,4.64,Chicago
389,34,Male,2.58,16,0.76,1.49,0.33,Houston
390,36,Male,9.04,13,2.39,3.9,2.75,New York
391,45,Female,8.32,4,3.01,2.36,2.95,Phoenix
392,43,Female,7.31,20,2.91,1.14,3.26,Chicago
393,54,Female,4.12,9,2.01,0.83,1.28,Los Angeles
394,43,Male,5.17,14,1.69,1.66,1.82,Chicago
395,40,Female,9.55,28,0.63,4.7,4.22,Los Angeles
396,26,Male,4.65,4,1.96,1.72,0.97,Los Angeles
397,29,Female,9.88,29,0.81,4.94,4.13,New York
398,18,Female,8.91,22,3.67,2.43,2.81,New York
399,18,Male,5.75,20,1.04,0.9,3.81,Chicago
400,51,Female,8.32,8,0.29,4.46,3.57,Phoenix
401,49,Male,6.1,26,2.76,2.3,1.04,Chicago
402,42,Male,9.37,12,2.98,3.55,2.84,Houston
403,57,Female,13.62,22,4.36,4.92,4.34,Los Angeles
404,18,Male,5.29,17,2.88,0.25,2.16,Los Angeles
405,33,Male,7.04,7,1.73,0.48,4.83,New York
406,56,Female,9.88,22,4.02,3.6,2.26,Phoenix
407,22,Male,4.82,5,2.7,1.41,0.71,New York
408,39,Male,3.27,7,0.4,0.92,1.95,Houston
409,46,Male,7.79,27,2.83,0.2,4.76,Chicago
410,20,Female,6.25,10,4.54,0.11,1.6,Chicago
411,29,Male,10.19,10,1.98,3.87,4.34,Phoenix
412,43,Female,6.56,10,1.48,0.67,4.41,New York
413,33,Female,4.81,14,0.72,2.34,1.75,New York
414,54,Male,4.21,26,0.76,3.03,0.42,Houston
415,39,Male,7.92,25,2.16,2.14,3.62,Chicago
416,46,Male,4.68,10,2.98,0.14,1.56,New York
417,31,Female,8.23,13,0.4,3.92,3.91,Phoenix
418,45,Male,6.96,16,4.7,0.05,2.21,Chicago
419,22,Male,10.02,10,3.78,3.81,2.43,Houston
420,47,Male,11.29,26,2.93,4.47,3.89,Phoenix
421,22,Male,8.21,12,4.14,2.16,1.91,Los Angeles
422,29,Male,5.3,9,0.4,2.68,2.22,Houston
423,33,Female,6.64,19,2.38,2.38,1.88,Phoenix
424,43,Female,6.94,6,3.15,1.95,1.84,New York
425,43,Male,11.21,15,4.14,4.44,2.63,Los Angeles
426,38,Male,12.43,6,3.92,4.47,4.04,Houston
427,56,Male,4.88,7,1.39,1.68,1.81,New York
428,53,Male,10.4,28,4.7,3.08,2.62,Los Angeles
429,50,Female,8.6,24,0.62,4.63,3.35,Chicago
430,47,Male,10.54,6,4.38,4.81,1.35,New York
431,54,Female,8.78,20,4.85,2.54,1.39,Phoenix
432,40,Female,7.82,8,0.89,2.26,4.67,Houston
433,27,Male,8.62,26,3.61,1.39,3.62,Los Angeles
434,22,Female,7.88,26,0.2,4.79,2.89,New York
435,53,Female,5.98,25,2.03,0.71,3.24,Chicago
436,51,Female,5.63,24,2.58,2.9,0.15,Houston
437,48,Female,7.4,4,2.9,1.41,3.09,Houston
438,27,Male,8.63,25,4.68,1.4,2.55,New York
439,36,Male,8.11,13,3.36,2.02,2.73,Chicago
440,49,Female,9.2,16,2.41,4.99,1.8,Los Angeles
441,18,Male,4.73,7,4.05,0.27,0.41,New York
442,22,Male,8.61,8,4.75,2.89,0.97,Los Angeles
443,21,Male,5.27,12,0.11,0.41,4.75,Houston
444,33,Male,7.72,10,4.91,0.77,2.04,Los Angeles
445,41,Male,4.96,16,0.43,2.2,2.33,Chicago
446,33,Female,6.88,26,4.07,2.55,0.26,Phoenix
447,19,Male,2.88,5,1.4,1.29,0.19,Chicago
448,45,Male,5.83,14,0.66,1.58,3.59,Los Angeles
449,49,Male,5.32,18,2.2,0.43,2.69,New York
450,44,Male,7.28,25,3.22,1.52,2.54,Houston
451,37,Female,7.95,19,1.9,4.83,1.22,Phoenix
452,41,Female,8.71,3,0.27,4.72,3.72,New York
453,29,Female,5.51,25,3,1.67,0.84,New York
454,52,Female,8.31,12,4.51,2.85,0.95,Chicago
455,50,Male,8.77,27,1.92,4.55,2.3,Los Angeles
456,50,Female,2.54,25,1.08,0.03,1.43,Chicago
457,54,Male,7.5,12,2.21,4.05,1.24,Los Angeles
458,29,Male,8.21,23,0.24,4.74,3.23,Chicago
459,20,Male,7.81,26,4.1,0.46,3.25,New York
460,18,Male,9.06,4,4.13,0.81,4.12,Houston
461,50,Male,9.83,11,2.94,4.8,2.09,Los Angeles
462,57,Female,4.83,24,1.77,2.69,0.37,Phoenix
463,27,Female,5.44,15,4,0.07,1.37,Phoenix
